,item_id,_key,value_type,item_app_id,application_id,Application
0,32483,UPS1_Input_Voltage_L1L2,0,45189.0,1411.0,UPS 1
1,32484,UPS1_Input_Voltage_L1L3,0,45190.0,1411.0,UPS 1
2,32485,UPS1_Input_Voltage_L2L3,0,45191.0,1411.0,UPS 1
3,32486,UPS1_Input_Current_L1,0,45192.0,1411.0,UPS 1
4,32487,UPS1_Input_Current_L2,0,45193.0,1411.0,UPS 1
5,32488,UPS1_Input_Current_L3,0,45194.0,1411.0,UPS 1
6,32489,UPS1_Output_Voltage_L1L2,0,45195.0,1411.0,UPS 1
7,32490,UPS1_Output_Voltage_L1L3,0,45196.0,1411.0,UPS 1
8,32491,UPS1_Output_Voltage_L2L3,0,45197.0,1411.0,UPS 1
9,32492,UPS1_Total_Output_Load,0,45198.0,1411.0,UPS 1
10,32493,UPS1_Output_Voltage_L1,0,45199.0,1411.0,UPS 1
11,32494,UPS1_Active_Output_L1,0,45200.0,1411.0,UPS 1
12,32495,UPS1_Total_Output_Power_L1,0,45201.0,1411.0,UPS 1
13,32496,UPS1_Output_Voltage_L2,0,45202.0,1411.0,UPS 1
14,32497,UPS1_Active_Output_L2,0,45203.0,1411.0,UPS 1
15,32498,UPS1_Total_Output_Power_L2,0,45204.0,1411.0,UPS 1
16,32499,UPS1_Output_Voltage_L3,0,45205.0,1411.0,UPS 1
17,32500,UPS1_Active_Output_L3,0,45206.0,1411.0,UPS 1
18,32501,UPS1_Total_Output_Power_L3,0,45207.0,1411.0,UPS 1
19,32502,UPS1_Total_Output_Current,0,45208.0,1411.0,UPS 1
20,32503,UPS1_Total_Output_Active,0,45209.0,1411.0,UPS 1
21,32504,UPS1_Total_Output_Power,0,45210.0,1411.0,UPS 1
22,32505,UPS1_Battery_Voltage,0,45211.0,1411.0,UPS 1
23,32506,UPS1_Battery_Temperature,0,45212.0,1411.0,UPS 1
24,32507,UPS1_Battery_Status,3,45213.0,1411.0,UPS 1
25,32508,UPS1_Battery_RunTime_Remaining,0,45214.0,1411.0,UPS 1
26,32509,UPS1_Battery_Capacity,0,45215.0,1411.0,UPS 1
27,32511,UPS2_Input_Voltage_L1L2,0,46084.0,1444.0,UPS 2
28,32512,UPS2_Input_Voltage_L1L3,0,46085.0,1444.0,UPS 2
29,32513,UPS2_Input_Voltage_L2L3,0,46086.0,1444.0,UPS 2
30,32514,UPS2_Input_Current_L1,0,46087.0,1444.0,UPS 2
31,32515,UPS2_Input_Current_L2,0,46088.0,1444.0,UPS 2
32,32516,UPS2_Input_Current_L3,0,46089.0,1444.0,UPS 2
33,32517,UPS2_Output_Voltage_L1L2,0,46090.0,1444.0,UPS 2
34,32518,UPS2_Output_Voltage_L1L3,0,46091.0,1444.0,UPS 2
35,32519,UPS2_Output_Voltage_L2L3,0,46092.0,1444.0,UPS 2
36,32520,UPS2_Total_Output_Load,0,46093.0,1444.0,UPS 2
37,32521,UPS2_Output_Voltage_L1,0,46094.0,1444.0,UPS 2
38,32522,UPS2_Active_Output_L1,0,46095.0,1444.0,UPS 2
39,32523,UPS2_Total_Output_Power_L1,0,46096.0,1444.0,UPS 2
40,32524,UPS2_Output_Voltage_L2,0,46097.0,1444.0,UPS 2
41,32525,UPS2_Active_Output_L2,0,46098.0,1444.0,UPS 2
42,32526,UPS2_Total_Output_Power_L2,0,46099.0,1444.0,UPS 2
43,32527,UPS2_Output_Voltage_L3,0,46100.0,1444.0,UPS 2
44,32528,UPS2_Active_Output_L3,0,46101.0,1444.0,UPS 2
45,32529,UPS2_Total_Output_Power_L3,0,46102.0,1444.0,UPS 2
46,32530,UPS2_Total_Output_Current,0,46103.0,1444.0,UPS 2
47,32531,UPS2_Total_Output_Active,0,46104.0,1444.0,UPS 2
48,32532,UPS2_Total_Output_Power,0,46105.0,1444.0,UPS 2
49,32533,UPS2_Battery_Voltage,0,46106.0,1444.0,UPS 2
50,32534,UPS2_Battery_Temperature,0,46107.0,1444.0,UPS 2
51,32535,UPS2_Battery_Status,3,46108.0,1444.0,UPS 2
52,32536,UPS2_Battery_RunTime_Remaining,0,46109.0,1444.0,UPS 2
53,32537,UPS2_Battery_Capacity,0,46110.0,1444.0,UPS 2
54,32539,UPS3_Input_Voltage_L1L2,0,46119.0,1445.0,UPS 3
55,32540,UPS3_Input_Voltage_L1L3,0,46120.0,1445.0,UPS 3
56,32541,UPS3_Input_Voltage_L2L3,0,46121.0,1445.0,UPS 3
57,32542,UPS3_Input_Current_L1,0,46122.0,1445.0,UPS 3
58,32543,UPS3_Input_Current_L2,0,46123.0,1445.0,UPS 3
59,32544,UPS3_Input_Current_L3,0,46124.0,1445.0,UPS 3
60,32545,UPS3_Output_Voltage_L1L2,0,46125.0,1445.0,UPS 3
61,32546,UPS3_Output_Voltage_L1L3,0,46126.0,1445.0,UPS 3
62,32547,UPS3_Output_Voltage_L2L3,0,46127.0,1445.0,UPS 3
63,32548,UPS3_Total_Output_Load,0,46128.0,1445.0,UPS 3
64,32549,UPS3_Output_Voltage_L1,0,46129.0,1445.0,UPS 3
65,32550,UPS3_Active_Output_L1,0,46130.0,1445.0,UPS 3
66,32551,UPS3_Total_Output_Power_L1,0,46131.0,1445.0,UPS 3
67,32552,UPS3_Output_Voltage_L2,0,46132.0,1445.0,UPS 3
68,32553,UPS3_Active_Output_L2,0,46133.0,1445.0,UPS 3
69,32554,UPS3_Total_Output_Power_L2,0,46134.0,1445.0,UPS 3
70,32555,UPS3_Output_Voltage_L3,0,46135.0,1445.0,UPS 3
71,32556,UPS3_Active_Output_L3,0,46136.0,1445.0,UPS 3
72,32557,UPS3_Total_Output_Power_L3,0,46137.0,1445.0,UPS 3
73,32558,UPS3_Total_Output_Current,0,46138.0,1445.0,UPS 3
74,32559,UPS3_Total_Output_Active,0,46139.0,1445.0,UPS 3
75,32560,UPS3_Total_Output_Power,0,46140.0,1445.0,UPS 3
76,32561,UPS3_Battery_Voltage,0,46141.0,1445.0,UPS 3
77,32562,UPS3_Battery_Temperature,0,46142.0,1445.0,UPS 3
78,32563,UPS3_Battery_Status,3,46143.0,1445.0,UPS 3
79,32564,UPS3_Battery_RunTime_Remaining,0,46144.0,1445.0,UPS 3
80,32565,UPS3_Battery_Capacity,0,46145.0,1445.0,UPS 3
81,32567,UPS4_Input_Voltage_L1L2,0,46396.0,1446.0,UPS 4
82,32568,UPS4_Input_Voltage_L1L3,0,46397.0,1446.0,UPS 4
83,32569,UPS4_Input_Voltage_L2L3,0,46398.0,1446.0,UPS 4
84,32570,UPS4_Input_Current_L1,0,46399.0,1446.0,UPS 4
85,32571,UPS4_Input_Current_L2,0,46400.0,1446.0,UPS 4
86,32572,UPS4_Input_Current_L3,0,46401.0,1446.0,UPS 4
87,32573,UPS4_Output_Voltage_L1L2,0,46402.0,1446.0,UPS 4
88,32574,UPS4_Output_Voltage_L1L3,0,46403.0,1446.0,UPS 4
89,32575,UPS4_Output_Voltage_L2L3,0,46404.0,1446.0,UPS 4
90,32576,UPS4_Total_Output_Load,0,46405.0,1446.0,UPS 4
91,32577,UPS4_Output_Voltage_L1,0,46406.0,1446.0,UPS 4
92,32578,UPS4_Active_Output_L1,0,46407.0,1446.0,UPS 4
93,32579,UPS4_Total_Output_Power_L1,0,46408.0,1446.0,UPS 4
94,32580,UPS4_Output_Voltage_L2,0,46409.0,1446.0,UPS 4
95,32581,UPS4_Active_Output_L2,0,46410.0,1446.0,UPS 4
96,32582,UPS4_Total_Output_Power_L2,0,46411.0,1446.0,UPS 4
97,32583,UPS4_Output_Voltage_L3,0,46412.0,1446.0,UPS 4
98,32584,UPS4_Active_Output_L3,0,46413.0,1446.0,UPS 4
99,32585,UPS4_Total_Output_Power_L3,0,46414.0,1446.0,UPS 4
100,32586,UPS4_Total_Output_Current,0,46415.0,1446.0,UPS 4
101,32587,UPS4_Total_Output_Active,0,46416.0,1446.0,UPS 4
102,32588,UPS4_Total_Output_Power,0,46417.0,1446.0,UPS 4
103,32589,UPS4_Battery_Voltage,0,46418.0,1446.0,UPS 4
104,32590,UPS4_Battery_Temperature,0,46419.0,1446.0,UPS 4
105,32591,UPS4_Battery_Status,3,46420.0,1446.0,UPS 4
106,32592,UPS4_Battery_RunTime_Remaining,0,46421.0,1446.0,UPS 4
107,32593,UPS4_Battery_Capacity,0,46422.0,1446.0,UPS 4
108,32806,GRH1_PM_Current_L1,0,54488.0,1413.0,GRH 1
109,32807,GRH1_PM_Current_L2,0,54490.0,1413.0,GRH 1
110,32808,GRH1_PM_Current_L3,0,54492.0,1413.0,GRH 1
111,32809,GRH1_PM_Current_N,0,54494.0,1413.0,GRH 1
112,32810,GRH1_PM_Voltage_L1,0,54496.0,1413.0,GRH 1
113,32811,GRH1_PM_Voltage_L2,0,54498.0,1413.0,GRH 1
114,32812,GRH1_PM_Voltage_L3,0,54500.0,1413.0,GRH 1
115,32816,GRH1_PM_Active_L1,0,54508.0,1413.0,GRH 1
116,32817,GRH1_PM_Active_L2,0,54510.0,1413.0,GRH 1
117,32818,GRH1_PM_Active_L3,0,54512.0,1413.0,GRH 1
118,32819,GRH1_PM_Total_L1,0,54514.0,1413.0,GRH 1
119,32820,GRH1_PM_Total_L2,0,54516.0,1413.0,GRH 1
120,32821,GRH1_PM_Total_L3,0,54518.0,1413.0,GRH 1
121,32823,GRH2_PM_Current_L1,0,54586.0,1466.0,GRH 2
122,32824,GRH2_PM_Current_L2,0,54588.0,1466.0,GRH 2
123,32825,GRH2_PM_Current_L3,0,54590.0,1466.0,GRH 2
124,32826,GRH2_PM_Current_N,0,54592.0,1466.0,GRH 2
125,32827,GRH2_PM_Voltage_L1,0,54594.0,1466.0,GRH 2
126,32828,GRH2_PM_Voltage_L2,0,54596.0,1466.0,GRH 2
127,32829,GRH2_PM_Voltage_L3,0,54598.0,1466.0,GRH 2
128,32833,GRH2_PM_Active_L1,0,54606.0,1466.0,GRH 2
129,32834,GRH2_PM_Active_L2,0,54608.0,1466.0,GRH 2
130,32835,GRH2_PM_Active_L3,0,54610.0,1466.0,GRH 2
131,32836,GRH2_PM_Total_L1,0,54612.0,1466.0,GRH 2
132,32837,GRH2_PM_Total_L2,0,54614.0,1466.0,GRH 2
133,32838,GRH2_PM_Total_L3,0,54616.0,1466.0,GRH 2
134,32840,GRH3_PM_Current_L1,0,54684.0,1467.0,GRH 3
135,32841,GRH3_PM_Current_L2,0,54686.0,1467.0,GRH 3
136,32842,GRH3_PM_Current_L3,0,54688.0,1467.0,GRH 3
137,32843,GRH3_PM_Current_N,0,54690.0,1467.0,GRH 3
138,32844,GRH3_PM_Voltage_L1,0,54692.0,1467.0,GRH 3
139,32845,GRH3_PM_Voltage_L2,0,54694.0,1467.0,GRH 3
140,32846,GRH3_PM_Voltage_L3,0,54696.0,1467.0,GRH 3
141,32850,GRH3_PM_Active_L1,0,54704.0,1467.0,GRH 3
142,32851,GRH3_PM_Active_L2,0,54706.0,1467.0,GRH 3
143,32852,GRH3_PM_Active_L3,0,54708.0,1467.0,GRH 3
144,32853,GRH3_PM_Total_L1,0,54710.0,1467.0,GRH 3
145,32854,GRH3_PM_Total_L2,0,54712.0,1467.0,GRH 3
146,32855,GRH3_PM_Total_L3,0,54714.0,1467.0,GRH 3
147,32857,R11_PDUA_Curent_L1,0,54826.0,1414.0,Rack R11
148,32858,R11_PDUA_Curent_L2,0,54828.0,1414.0,Rack R11
149,32859,R11_PDUA_Curent_L3,0,54830.0,1414.0,Rack R11
150,32860,R11_PDUA_Voltage_L1,0,54832.0,1414.0,Rack R11
151,32861,R11_PDUA_Voltage_L2,0,54834.0,1414.0,Rack R11
152,32862,R11_PDUA_Voltage_L3,0,54836.0,1414.0,Rack R11
153,32863,R11_PDUA_Power_L1,0,54838.0,1414.0,Rack R11
154,32864,R11_PDUA_Power_L2,0,54840.0,1414.0,Rack R11
155,32865,R11_PDUA_Power_L3,0,54842.0,1414.0,Rack R11
156,32866,R11_PDUA_Power,0,54844.0,1414.0,Rack R11
157,32867,R11_PDUA_Energy,0,54846.0,1414.0,Rack R11
158,32868,R11_PDUA_LoadState_L1,0,54848.0,1414.0,Rack R11
159,32869,R11_PDUA_LoadState_L2,0,54850.0,1414.0,Rack R11
160,32870,R11_PDUA_LoadState_L3,0,54852.0,1414.0,Rack R11
161,32871,R11_PDUB_Curent_L1,0,54854.0,1414.0,Rack R11
162,32872,R11_PDUB_Curent_L2,0,54856.0,1414.0,Rack R11
163,32873,R11_PDUB_Curent_L3,0,54858.0,1414.0,Rack R11
164,32874,R11_PDUB_Voltage_L1,0,54860.0,1414.0,Rack R11
165,32875,R11_PDUB_Voltage_L2,0,54862.0,1414.0,Rack R11
166,32876,R11_PDUB_Voltage_L3,0,54864.0,1414.0,Rack R11
167,32877,R11_PDUB_Power_L1,0,54866.0,1414.0,Rack R11
168,32878,R11_PDUB_Power_L2,0,54868.0,1414.0,Rack R11
169,32879,R11_PDUB_Power_L3,0,54870.0,1414.0,Rack R11
170,32880,R11_PDUB_Power,0,54872.0,1414.0,Rack R11
171,32881,R11_PDUB_Energy,0,54874.0,1414.0,Rack R11
172,32882,R11_PDUB_LoadState_L1,0,54876.0,1414.0,Rack R11
173,32883,R11_PDUB_LoadState_L2,0,54878.0,1414.0,Rack R11
174,32884,R11_PDUB_LoadState_L3,0,54880.0,1414.0,Rack R11
175,32885,R12_PDUA_Curent_L1,0,54886.0,1429.0,Rack R12
176,32886,R12_PDUA_Curent_L2,0,54888.0,1429.0,Rack R12
177,32887,R12_PDUA_Curent_L3,0,54890.0,1429.0,Rack R12
178,32888,R12_PDUA_Voltage_L1,0,54892.0,1429.0,Rack R12
179,32889,R12_PDUA_Voltage_L2,0,54894.0,1429.0,Rack R12
180,32890,R12_PDUA_Voltage_L3,0,54896.0,1429.0,Rack R12
181,32891,R12_PDUA_Power_L1,0,54898.0,1429.0,Rack R12
182,32892,R12_PDUA_Power_L2,0,54900.0,1429.0,Rack R12
183,32893,R12_PDUA_Power_L3,0,54902.0,1429.0,Rack R12
184,32894,R12_PDUA_Power,0,54904.0,1429.0,Rack R12
185,32895,R12_PDUA_Energy,0,54906.0,1429.0,Rack R12
186,32896,R12_PDUA_LoadState_L1,0,54908.0,1429.0,Rack R12
187,32897,R12_PDUA_LoadState_L2,0,54910.0,1429.0,Rack R12
188,32898,R12_PDUA_LoadState_L3,0,54912.0,1429.0,Rack R12
189,32899,R12_PDUB_Curent_L1,0,54914.0,1429.0,Rack R12
190,32900,R12_PDUB_Curent_L2,0,54916.0,1429.0,Rack R12
191,32901,R12_PDUB_Curent_L3,0,54918.0,1429.0,Rack R12
192,32902,R12_PDUB_Voltage_L1,0,54920.0,1429.0,Rack R12
193,32903,R12_PDUB_Voltage_L2,0,54922.0,1429.0,Rack R12
194,32904,R12_PDUB_Voltage_L3,0,54924.0,1429.0,Rack R12
195,32905,R12_PDUB_Power_L1,0,54926.0,1429.0,Rack R12
196,32906,R12_PDUB_Power_L2,0,54928.0,1429.0,Rack R12
197,32907,R12_PDUB_Power_L3,0,54930.0,1429.0,Rack R12
198,32908,R12_PDUB_Power,0,54932.0,1429.0,Rack R12
199,32909,R12_PDUB_Energy,0,54934.0,1429.0,Rack R12
200,32910,R12_PDUB_LoadState_L1,0,54936.0,1429.0,Rack R12
201,32911,R12_PDUB_LoadState_L2,0,54938.0,1429.0,Rack R12
202,32912,R12_PDUB_LoadState_L3,0,54940.0,1429.0,Rack R12
203,32913,R13_PDUA_Curent_L1,0,54948.0,1422.0,Rack R13
204,32914,R13_PDUA_Curent_L2,0,54950.0,1422.0,Rack R13
205,32915,R13_PDUA_Curent_L3,0,54952.0,1422.0,Rack R13
206,32916,R13_PDUA_Voltage_L1,0,54954.0,1422.0,Rack R13
207,32917,R13_PDUA_Voltage_L2,0,54956.0,1422.0,Rack R13
208,32918,R13_PDUA_Voltage_L3,0,54958.0,1422.0,Rack R13
209,32919,R13_PDUA_Power_L1,0,54960.0,1422.0,Rack R13
210,32920,R13_PDUA_Power_L2,0,54962.0,1422.0,Rack R13
211,32921,R13_PDUA_Power_L3,0,54964.0,1422.0,Rack R13
212,32922,R13_PDUA_Power,0,54966.0,1422.0,Rack R13
213,32923,R13_PDUA_Energy,0,54968.0,1422.0,Rack R13
214,32924,R13_PDUA_LoadState_L1,0,54970.0,1422.0,Rack R13
215,32925,R13_PDUA_LoadState_L2,0,54972.0,1422.0,Rack R13
216,32926,R13_PDUA_LoadState_L3,0,54974.0,1422.0,Rack R13
217,32927,R13_PDUB_Curent_L1,0,54976.0,1422.0,Rack R13
218,32928,R13_PDUB_Curent_L2,0,54978.0,1422.0,Rack R13
219,32929,R13_PDUB_Curent_L3,0,54980.0,1422.0,Rack R13
220,32930,R13_PDUB_Voltage_L1,0,54982.0,1422.0,Rack R13
221,32931,R13_PDUB_Voltage_L2,0,54984.0,1422.0,Rack R13
222,32932,R13_PDUB_Voltage_L3,0,54986.0,1422.0,Rack R13
223,32933,R13_PDUB_Power_L1,0,54988.0,1422.0,Rack R13
224,32934,R13_PDUB_Power_L2,0,54990.0,1422.0,Rack R13
225,32935,R13_PDUB_Power_L3,0,54992.0,1422.0,Rack R13
226,32936,R13_PDUB_Power,0,54994.0,1422.0,Rack R13
227,32937,R13_PDUB_Energy,0,54996.0,1422.0,Rack R13
228,32938,R13_PDUB_LoadState_L1,0,54998.0,1422.0,Rack R13
229,32939,R13_PDUB_LoadState_L2,0,55000.0,1422.0,Rack R13
230,32940,R13_PDUB_LoadState_L3,0,55002.0,1422.0,Rack R13
231,32941,R14_PDUA_Curent_L1,0,45756.0,1430.0,Rack R14
232,32942,R14_PDUA_Curent_L2,0,45757.0,1430.0,Rack R14
233,32943,R14_PDUA_Curent_L3,0,45758.0,1430.0,Rack R14
234,32944,R14_PDUA_Voltage_L1,0,45759.0,1430.0,Rack R14
235,32945,R14_PDUA_Voltage_L2,0,45760.0,1430.0,Rack R14
236,32946,R14_PDUA_Voltage_L3,0,45761.0,1430.0,Rack R14
237,32947,R14_PDUA_Power_L1,0,45762.0,1430.0,Rack R14
238,32948,R14_PDUA_Power_L2,0,45763.0,1430.0,Rack R14
239,32949,R14_PDUA_Power_L3,0,45764.0,1430.0,Rack R14
240,32950,R14_PDUA_Power,0,45765.0,1430.0,Rack R14
241,32951,R14_PDUA_Energy,0,45766.0,1430.0,Rack R14
242,32952,R14_PDUA_LoadState_L1,0,45767.0,1430.0,Rack R14
243,32953,R14_PDUA_LoadState_L2,0,45768.0,1430.0,Rack R14
244,32954,R14_PDUA_LoadState_L3,0,45769.0,1430.0,Rack R14
245,32955,R14_PDUB_Curent_L1,0,45770.0,1430.0,Rack R14
246,32956,R14_PDUB_Curent_L2,0,45771.0,1430.0,Rack R14
247,32957,R14_PDUB_Curent_L3,0,45772.0,1430.0,Rack R14
248,32958,R14_PDUB_Voltage_L1,0,45773.0,1430.0,Rack R14
249,32959,R14_PDUB_Voltage_L2,0,45774.0,1430.0,Rack R14
250,32960,R14_PDUB_Voltage_L3,0,45775.0,1430.0,Rack R14
251,32961,R14_PDUB_Power_L1,0,45776.0,1430.0,Rack R14
252,32962,R14_PDUB_Power_L2,0,45777.0,1430.0,Rack R14
253,32963,R14_PDUB_Power_L3,0,45778.0,1430.0,Rack R14
254,32964,R14_PDUB_Power,0,45779.0,1430.0,Rack R14
